college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Diablo Valley College,1154,CA,Public,Unknown,0.7778,14734,2502
Dominican University Of California,1194,CA,Private,Unknown,0.9562,1178,70926
Dominican School Of Philosophy & Theology,1154,CA,Private,Unknown,0.7778,1107,18700
East Los Angeles College,1154,CA,Public,Unknown,0.7778,24401,2176
El Camino Community College District,1154,CA,Public,Unknown,0.7778,18994,3280
Emperor'S College Of Traditional Oriental Medicine,1154,CA,Private,Unknown,0.7778,1107,18700
Empire College,1154,CA,Private,Unknown,0.7778,1107,18700
Evergreen Valley College,1154,CA,Public,Unknown,0.7778,7670,4093
Fidm-Fashion Institute Of Design & Merchandising,1154,CA,Private,Unknown,0.415,1319,36508
Feather River Community College District,1154,CA,Public,Unknown,0.7778,1574,18802
Federico Beauty Institute,1154,CA,Private,Unknown,0.7778,245,18700
Fielding Graduate University,1154,CA,Private,Unknown,0.7778,1107,18700
Five Branches University,1154,CA,Private,Unknown,0.7778,1107,18700
Redondo Beach Beauty College,1154,CA,Private,Unknown,0.7778,52,18700
Foothill College,1154,CA,Public,Unknown,0.7778,10922,3359
Franciscan School Of Theology,1154,CA,Private,Unknown,0.7778,1107,18700
Fredrick And Charles Beauty College,1154,CA,Private,Unknown,0.7778,67,18700
Fresno City College,1154,CA,Public,Unknown,0.7778,18774,3314
Fresno Pacific University,1154,CA,Private,Unknown,0.5752,1614,49395
Fuller Theological Seminary,1154,CA,Private,Unknown,0.7778,1107,18700
Fullerton College,1154,CA,Public,Unknown,0.7778,16637,3417
Gavilan College,1154,CA,Public,Unknown,0.7778,4410,2444
Gemological Institute Of America-Carlsbad,1154,CA,Private,Unknown,0.7778,308,18700
Glendale Career College,1154,CA,Private,Unknown,0.7778,854,18700
Golden Gate University,1154,CA,Private,Unknown,0.7778,550,33163
Golden West College,1154,CA,Public,Unknown,0.7778,8919,2661
Graduate Theological Union,1154,CA,Private,Unknown,0.7778,1107,18700
Grossmont College,1154,CA,Public,Unknown,0.7778,11467,2532
Salon Success Academy-Riverside,1154,CA,Private,Unknown,0.7778,173,18700
Hartnell College,1154,CA,Public,Unknown,0.7778,7153,2342
Harvey Mudd College,1537,CA,Private,Unknown,0.1306,915,90165
Hilltop Beauty School,1154,CA,Private,Unknown,0.7778,79,18700
Pacifica Graduate Institute,1154,CA,Private,Unknown,0.7778,1107,18700
California State Polytechnic University-Humboldt,1154,CA,Public,Unknown,0.9883,5491,25657
Humphreys University-Stockton And Modesto Campuses,1154,CA,Private,Unknown,0.7778,178,15698
Imperial Valley College,1154,CA,Public,Unknown,0.7778,6881,15727
Institute For Business And Technology,1154,CA,Private,Unknown,0.7778,609,18700
Interior Designers Institute,1154,CA,Private,Unknown,0.7778,107,21760
Irvine Valley College,1154,CA,Public,Unknown,0.7778,9577,2094
Bellus Academy-El Cajon,1154,CA,Private,Unknown,0.7778,205,18700
American Jewish University,1154,CA,Private,Unknown,0.7778,69,18700
Reedley College,1154,CA,Public,Unknown,0.7778,4853,17920
Life Pacific University,1154,CA,Private,Unknown,0.9395,393,37241
University Of La Verne,1116,CA,Private,Unknown,0.4848,3341,66454
